model,iteration,RMSE,bagging_fraction,bagging_freq,feature_fraction,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,num_leaves,subsample
LGBM,75,7144369.680542896,0.7371247613420651,2.0,0.28360437005868655,0.0025341176222684744,5.0,152.0,0.01225143906717258,0.07326597400928556,120.0,0.8246872061568874
LGBM,25,7150776.610238315,0.7182894123034316,1.0,0.44047921020265424,0.004020858467484026,3.0,114.0,0.03894700978210202,0.0873330737153691,88.0,0.935178590696436
LGBM,83,7152028.514090217,0.7344822076036662,1.0,0.2919858327315491,0.0027351981637986156,5.0,158.0,0.0332086478559505,0.05599341715061807,118.0,0.9144378894933689
LGBM,78,7152196.353907582,0.7248423502545945,1.0,0.3608603498251265,0.003058750079765631,4.0,142.0,0.0367150381828324,0.06952042485075557,102.0,0.8932450867502648
LGBM,55,7152666.778202371,0.7503860098575056,1.0,0.6023484569848702,0.002929913213716537,10.0,122.0,0.019179019166876775,0.06641148354788458,114.0,0.6764557109087206
LGBM,42,7154439.601253857,0.7426653778046405,2.0,0.29689860550958747,0.0025993430853603282,5.0,138.0,0.06950222631640876,0.0636526512568067,108.0,0.8802760953169451
LGBM,39,7159829.984560847,0.7967145232120574,1.0,0.3867100922109107,0.004693460950503662,3.0,160.0,0.027994287357045778,0.07128803841655132,78.0,0.7037130095268498
LGBM,60,7161122.53011212,0.9530721526297774,2.0,0.22061858486936628,0.004844909980507827,3.0,102.0,0.03694282279690193,0.09559443892730551,124.0,0.7797944979049525
LGBM,88,7163742.294592073,0.880436351166221,1.0,0.3135103481492993,0.005425329830874972,3.0,148.0,0.014602972516347986,0.06817781928928106,86.0,0.9778324283582874
LGBM,10,7164353.010263702,0.7372622445156519,3.0,0.8555224859262265,0.0018607941006663713,8.0,184.0,0.08694058562330183,0.05846001301724838,66.0,0.8663019630848967
LGBM,69,7166248.520752978,0.7476794034632546,1.0,0.2273413951076253,0.003876015674660874,4.0,134.0,0.029407488033794983,0.08914240868623945,124.0,0.9505859570205187
LGBM,94,7166632.877223838,0.8600915677944235,2.0,0.2376101936902912,0.007780162797329778,8.0,126.0,0.020652233340231356,0.07805534621556151,126.0,0.9032845131471038
LGBM,53,7169271.293443471,0.7110158473351276,4.0,0.20120568423357268,0.0073797866625895355,9.0,98.0,0.05723438795770157,0.08742806283811515,60.0,0.9765042775984617
LGBM,8,7171928.138244183,0.8290495892570015,3.0,0.801233171385693,0.002599958157438487,10.0,156.0,0.031141180245006214,0.02119353832875314,116.0,0.6210195061819124
LGBM,34,7172961.032993026,0.7783417246547624,1.0,0.4143387503460656,0.0027598166309147397,5.0,132.0,0.03433640624682347,0.07860535042535513,98.0,0.9610735231905911
